2018-03-12 11:42:32,949 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-03-12 11:47:55,008 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.mislbd.ababil.test.automation:online-banking:0.0.1-SNAPSHOT @ C:\Users\User\eclipse-workspace\OnlineBankingAutomationTesting\online-banking\pom.xml.
2018-03-12 11:49:39,110 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-03-12 11:49:43,290 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: OnlineBankingAutomationTest:OnlineBankingAutomationTest:1.0-SNAPSHOT @ E:\work\OnlineBankingAutomationTest\pom.xml.
2018-03-12 11:49:49,846 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:49:49,854 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-12 11:49:49,856 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:49:49,857 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\work\OnlineBankingAutomationTest\src\test\resources
2018-03-12 11:49:49,920 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineBankingAutomationTest/src/main/java
2018-03-12 11:49:49,921 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /OnlineBankingAutomationTest/src/main/resources
2018-03-12 11:49:50,044 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /OnlineBankingAutomationTest/src/test/java
2018-03-12 11:49:50,954 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:49:50,965 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-12 11:49:50,969 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:49:50,970 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\work\OnlineBankingAutomationTest\src\test\resources
2018-03-12 11:49:52,540 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 13 sec
2018-03-12 11:49:52,941 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:49:52,942 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-12 11:49:52,943 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:49:52,944 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\work\OnlineBankingAutomationTest\src\test\resources
2018-03-12 11:50:53,791 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:50:53,792 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-12 11:50:53,793 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 11:50:53,794 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\work\OnlineBankingAutomationTest\src\test\resources
2018-03-12 14:32:19,873 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 14:32:19,886 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-12 14:32:19,888 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-12 14:32:19,889 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\work\OnlineBankingAutomationTest\src\test\resources
2018-03-12 15:30:11,859 [Worker-5] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
